Candidate_ID,x_Skills,x_Cultural,x_Ethics,x_Gender,x_Minority,x_Integrity,Integrity_Flag
C001,74.95,76.11,87.39,0,0,82.18,0
C002,66.06,87.91,82.17,1,0,92.02,0
C003,77.07,48.22,72.66,0,0,84.5,0
C004,89.32,71.76,64.88,0,0,62.97,0
C005,64.72,57.19,79.68,0,0,88.52,0
C006,64.72,59.15,76.33,0,0,68.02,0
C007,82.82,59.55,81.85,1,1,74.16,0
C008,65.51,52.26,78.99,1,1,80.5,0
C009,61.43,65.58,83.55,1,0,97.96,0
C010,75.6,55.03,66.11,0,0,100.0,0
C011,61.51,68.25,86.49,0,0,84.07,0
C012,61.48,64.4,74.17,0,0,76.17,0
C013,71.39,62.13,94.83,0,0,83.35,0
C014,41.21,54.11,64.42,0,0,86.88,0
C015,43.85,58.08,91.1,0,0,74.79,0
C016,53.04,73.75,74.18,0,1,95.95,0
C017,53.82,71.01,64.83,1,0,80.3,0
C018,72.4,53.27,66.68,1,0,82.98,0
C019,55.29,66.19,68.48,1,0,84.66,0
C020,48.23,74.02,76.67,1,0,82.22,0
C021,88.52,44.97,77.75,1,0,86.39,0
C022,64.84,71.52,65.69,0,0,71.83,0
C023,68.95,57.05,71.73,1,0,72.42,0
C024,48.05,71.85,95.56,1,0,67.0,0
C025,55.24,51.03,91.0,0,1,82.4,0
C026,63.15,38.81,76.8,0,1,85.79,0
C027,51.89,45.47,72.42,1,0,82.58,0
C028,73.26,65.58,73.32,0,0,94.74,0
C029,59.59,68.12,78.75,1,0,77.94,0
C030,63.92,54.15,60.75,1,0,84.69,0
C031,59.58,72.66,69.17,0,0,67.08,0
C032,93.93,45.06,53.65,0,0,74.13,0
C033,67.81,64.21,76.39,0,0,84.96,0
C034,53.19,50.47,79.12,0,0,86.49,0
C035,79.52,57.18,66.68,0,0,75.06,0
C036,53.9,61.78,89.31,1,1,77.28,0
C037,64.88,54.56,58.52,0,1,62.82,0
C038,33.5,54.93,55.89,0,1,74.43,0
C039,49.41,77.08,74.47,0,0,86.9,0
C040,63.39,50.09,83.52,1,1,83.75,0
C041,78.34,75.03,90.52,0,0,83.01,0
C042,83.65,48.48,84.41,0,1,78.5,0
C043,66.38,71.36,83.87,1,0,78.07,0
C044,57.16,80.11,71.58,1,1,71.4,0
C045,47.3,35.34,70.1,0,0,84.99,0
C046,49.63,55.62,81.72,1,1,82.21,0
C047,58.14,68.12,79.18,0,1,82.92,0
C048,82.8,62.56,54.66,0,0,72.74,0
C049,72.81,69.45,88.24,0,0,56.47,0
C050,37.34,54.62,87.18,0,1,88.97,0
C051,72.54,66.04,65.12,1,0,73.21,0
C052,56.0,62.91,76.35,0,1,69.37,0
C053,58.52,79.01,77.43,0,0,84.93,0
C054,76.56,68.05,74.87,1,0,74.08,0
C055,82.43,69.05,65.95,1,0,88.6,0
C056,81.04,60.06,64.61,0,0,84.17,0
C057,75.16,53.04,82.87,1,1,84.84,0
C058,63.67,59.81,84.9,0,0,64.34,0
C059,72.64,69.73,77.98,1,0,90.12,0
C060,81.66,59.95,67.92,1,0,80.61,0
C061,61.29,68.48,80.49,1,0,74.31,0
C062,86.0,85.53,80.42,0,1,79.43,0
C063,46.3,72.82,84.64,0,1,60.24,0
C064,51.25,61.09,52.86,0,0,82.09,0
C065,76.78,77.14,86.6,0,1,67.71,0
C066,77.47,56.68,88.34,0,1,64.47,0
C067,66.99,40.54,57.76,1,0,62.78,0
C068,75.29,50.86,84.77,0,1,89.13,0
C069,73.06,42.55,66.86,0,0,71.71,0
C070,58.97,60.78,75.81,1,0,93.34,0
C071,66.86,57.64,71.48,0,1,72.64,0
C072,89.53,85.12,77.25,1,0,60.93,0
C073,61.93,64.85,72.85,0,1,66.83,0
C074,75.13,60.78,57.89,0,1,90.36,0
C075,31.32,74.95,82.96,0,0,76.44,0
C076,84.86,34.96,91.77,0,1,72.52,0
C077,69.22,67.83,54.88,1,0,79.6,0
C078,63.81,74.25,67.29,0,0,83.02,0
C079,69.28,47.26,88.51,1,0,89.17,0
C080,38.69,75.69,81.35,0,1,92.48,0
C081,64.92,69.06,68.16,0,0,74.4,0
C082,73.0,60.02,68.16,1,0,64.74,0
C083,79.67,70.58,68.46,0,1,73.87,0
C084,50.45,87.87,94.84,1,1,80.6,0
C085,50.86,64.84,76.2,1,1,68.36,0
C086,60.98,67.98,76.73,1,0,68.43,0
C087,80.82,59.49,83.33,1,0,81.44,0
C088,72.6,54.8,74.63,0,0,77.51,0
C089,59.64,70.04,69.15,0,1,78.33,0
C090,75.19,54.73,69.84,0,0,70.42,0
C091,69.36,65.86,71.21,1,0,75.7,0
C092,88.54,56.48,85.45,1,1,68.76,0
C093,58.17,70.75,80.0,0,0,86.9,0
C094,56.89,67.46,72.57,1,1,88.35,0
C095,59.11,74.67,80.06,0,1,59.54,0
C096,41.66,55.35,71.11,1,1,68.7,0
C097,72.15,61.76,72.86,0,0,63.03,0
C098,71.65,53.25,50.02,1,0,71.5,0
C099,56.15,57.73,82.08,1,1,77.17,0
C100,55.47,68.18,75.81,0,1,63.5,0
C101,48.05,67.02,82.98,0,1,68.78,0
C102,62.11,53.93,40.14,0,0,67.96,0
C103,56.06,74.74,94.97,0,1,80.07,0
C104,50.36,77.34,70.46,0,1,78.69,0
C105,58.27,68.01,84.19,1,1,70.78,0
C106,72.0,86.42,60.56,1,1,79.77,0
C107,80.99,50.74,91.58,1,1,72.53,0
C108,70.44,50.06,60.41,0,0,75.28,0
C109,71.61,43.66,65.14,1,0,94.73,0
C110,66.96,82.95,93.05,1,0,91.4,0
C111,41.14,72.85,69.9,0,0,65.0,0
C112,67.63,64.33,74.39,1,0,86.3,0
C113,68.84,68.36,81.57,1,0,86.11,0
C114,100.0,51.49,77.45,0,0,66.52,0
C115,65.31,94.35,73.65,0,0,86.19,0
C116,72.22,66.55,76.01,0,0,93.38,0
C117,67.42,62.24,98.44,0,1,66.77,0
C118,46.0,70.18,71.37,1,1,68.82,0
C119,84.0,70.77,74.21,1,0,88.18,0
C120,71.56,63.41,83.56,1,1,80.71,0
C121,79.07,55.51,84.16,0,0,83.51,0
C122,55.27,70.66,85.06,0,0,81.41,0
C123,87.64,87.58,79.03,1,0,81.91,0
C124,48.37,81.15,59.43,1,0,64.74,0
C125,76.75,84.22,78.45,0,1,88.47,0
C126,93.23,54.8,59.39,0,1,89.7,0
C127,54.13,53.12,75.33,1,0,75.71,0
C128,60.07,63.49,63.7,0,0,77.57,0
C129,69.4,65.67,71.29,0,0,62.69,0
C130,60.95,78.13,75.62,1,0,83.14,0
C131,46.29,44.69,75.53,0,0,83.72,0
C132,68.96,83.35,76.64,0,0,77.38,0
C133,44.31,59.47,89.75,0,1,89.24,0
C134,67.82,57.89,76.99,0,1,74.66,0
C135,55.13,52.85,69.31,1,0,83.65,0
C136,77.44,40.93,82.6,0,1,67.8,0
C137,57.03,74.88,85.08,0,0,77.76,0
C138,63.49,65.88,58.5,1,0,76.26,0
C139,79.39,49.52,78.57,1,0,80.25,0
C140,50.77,49.46,79.71,1,0,74.3,0
C141,62.3,57.74,68.73,0,1,76.69,0
C142,86.3,85.03,87.13,0,0,81.95,1
C143,45.5,61.88,70.35,1,0,73.63,0
C144,70.58,46.96,73.38,1,0,61.93,0
C145,71.64,62.05,70.1,0,0,95.5,0
C146,68.54,59.89,72.17,0,1,91.81,0
C147,50.68,32.64,59.94,0,0,65.08,0
C148,49.51,64.35,56.16,1,0,84.9,0
C149,75.31,62.23,89.54,1,0,72.97,0
C150,72.16,73.35,62.68,0,0,80.63,0
C151,71.51,87.19,61.09,0,0,80.94,0
C152,63.74,74.71,48.31,1,1,75.66,0
C153,58.48,61.77,64.97,1,0,70.16,0
C154,62.51,49.47,57.45,0,1,71.09,0
C155,63.25,90.99,90.06,1,1,68.84,0
C156,54.7,60.05,83.11,1,1,69.68,0
C157,94.12,65.17,64.43,0,0,77.33,0
C158,74.63,64.71,96.78,1,0,70.84,0
C159,51.32,67.38,82.8,0,0,84.82,0
C160,66.16,61.38,68.43,1,1,92.87,0
C161,54.35,58.12,44.51,1,0,72.2,0
C162,79.02,58.44,97.2,1,0,80.39,0
C163,84.22,64.61,56.71,1,0,83.0,0
C164,56.51,58.48,53.9,0,0,82.72,0
C165,81.49,56.45,83.25,1,0,78.76,0
C166,73.78,66.28,98.84,1,0,85.43,0
C167,72.22,62.97,87.23,0,1,82.82,0
C168,94.56,83.05,78.2,1,0,65.62,0
C169,64.56,33.19,78.54,1,0,86.69,0
C170,57.45,78.1,81.39,0,0,86.87,0
C171,55.55,79.95,80.35,1,0,70.37,0
C172,56.58,40.12,75.09,1,0,78.38,0
C173,63.88,58.49,73.15,0,1,84.83,0
C174,72.78,60.54,71.31,1,0,75.91,0
C175,63.15,46.64,63.71,0,1,88.73,0
C176,79.58,55.67,68.91,0,0,100.0,0
C177,68.18,51.67,53.38,0,0,70.14,0
C178,78.22,83.97,86.09,1,1,64.19,0
C179,64.29,76.23,61.13,1,0,81.04,0
C180,100.0,80.26,59.86,0,0,85.22,0
C181,76.76,73.66,73.98,0,0,75.69,0
C182,56.0,51.45,87.31,1,0,92.53,0
C183,47.02,53.82,82.1,0,1,64.61,0
C184,74.75,70.87,54.72,1,0,84.93,0
C185,61.92,51.73,61.11,1,1,71.94,0
C186,70.78,71.02,82.35,0,1,95.19,0
C187,74.63,62.12,61.19,1,0,97.93,0
C188,58.69,61.35,69.53,0,1,70.33,0
C189,56.14,73.53,78.05,1,0,72.5,0
C190,43.56,66.05,61.35,1,1,86.6,0
C191,61.75,60.67,73.16,1,0,74.13,0
C192,89.71,79.39,81.54,0,1,77.55,0
C193,71.0,52.03,65.38,1,0,78.25,0
C194,50.56,72.39,75.52,0,0,58.8,0
C195,70.42,72.12,54.48,0,0,77.86,0
C196,80.16,60.38,79.45,0,1,71.1,0
C197,55.63,68.91,71.78,1,0,73.07,0
C198,70.15,49.99,78.08,1,0,92.44,0
C199,63.16,74.15,74.46,1,1,65.43,0
C200,45.88,60.74,87.01,1,1,86.13,0
C201,63.19,55.88,73.38,0,1,75.21,0
C202,65.61,76.89,67.28,1,1,75.2,0
C203,76.45,54.57,73.35,0,1,85.9,0
C204,78.16,42.24,77.98,1,1,81.4,0
C205,48.71,46.32,72.54,1,0,83.71,0
C206,54.87,72.27,72.45,1,0,87.68,0
C207,65.78,45.42,64.28,1,1,74.69,0
C208,75.19,86.06,64.71,0,0,71.88,0
C209,75.21,40.02,56.57,0,0,67.15,0
C210,100.0,85.36,91.25,1,0,66.26,1
C211,69.77,64.46,58.32,0,1,100.0,0
C212,83.9,63.84,64.38,0,0,90.45,0
C213,81.36,58.46,64.1,0,0,64.49,0
C214,77.12,69.79,81.84,1,0,64.78,0
C215,63.59,64.55,68.76,0,0,82.82,0
C216,78.63,78.24,85.73,0,0,83.47,0
C217,57.18,66.37,64.59,1,0,83.49,0
C218,64.68,66.8,75.07,1,0,75.45,0
C219,48.82,58.83,62.81,0,1,76.75,0
C220,69.15,64.32,95.6,0,0,81.28,0
C221,88.25,65.83,58.94,0,1,78.86,0
C222,37.58,45.14,75.41,0,1,55.81,0
C223,77.61,48.82,78.97,0,0,75.7,0
C224,38.15,67.06,76.55,1,1,69.49,0
C225,61.39,67.05,69.96,1,0,79.75,0
C226,72.11,60.57,70.57,1,1,100.0,0
C227,68.9,65.22,72.48,0,0,81.67,0
C228,45.62,62.77,70.38,1,1,74.86,0
C229,57.99,58.52,82.6,0,0,87.22,0
C230,77.51,55.66,96.32,1,0,82.83,0
C231,57.77,67.35,65.87,1,0,82.2,0
C232,76.57,52.65,87.69,0,1,84.07,0
C233,61.21,66.91,71.03,1,1,98.57,0
C234,58.88,44.57,100.0,0,0,66.69,0
C235,98.02,77.35,63.16,1,0,82.74,0
C236,76.87,70.67,90.03,0,0,68.74,0
C237,28.97,66.19,90.45,0,1,83.56,0
C238,70.61,76.79,65.91,1,0,68.81,0
C239,46.5,79.86,78.26,0,1,73.83,0
C240,79.93,77.17,89.91,1,0,75.05,0
C241,56.9,42.91,67.83,0,0,87.76,0
C242,66.39,49.65,69.76,1,0,87.18,0
C243,75.07,57.5,65.6,1,0,65.54,0
C244,80.12,65.31,60.84,0,0,78.55,0
C245,51.2,71.21,64.86,0,0,70.9,0
C246,55.16,56.6,58.54,0,1,65.41,0
C247,61.35,67.24,72.37,0,0,75.83,0
C248,58.85,55.94,63.53,0,0,74.92,0
C249,92.72,57.66,74.57,1,0,100.0,0
C250,73.67,48.12,54.89,1,0,82.33,0
C251,50.35,53.92,75.64,1,0,64.22,0
C252,80.85,48.78,81.17,1,0,72.35,0
C253,97.71,53.29,50.07,1,0,88.21,0
C254,82.45,77.64,76.11,1,0,98.88,0
C255,46.73,53.61,85.5,0,0,62.14,0
C256,61.22,96.59,58.69,1,0,59.2,0
C257,85.74,70.92,90.4,1,0,96.71,0
C258,58.09,67.22,76.61,1,0,81.9,0
C259,68.17,54.6,64.24,0,1,69.32,0
C260,78.84,73.4,71.39,0,0,83.35,0
C261,41.28,56.94,78.14,0,1,51.64,0
C262,67.17,66.46,72.84,1,0,78.03,0
C263,20.0,91.63,77.93,1,1,81.28,0
C264,46.71,62.45,61.87,0,1,87.24,0
C265,64.46,78.79,73.86,1,0,67.86,0
C266,49.64,52.89,56.45,0,1,78.86,0
C267,90.85,64.58,70.78,0,0,68.75,0
C268,47.98,86.25,62.06,0,0,80.55,0
C269,54.5,56.89,63.91,1,1,69.05,0
C270,64.0,86.58,85.6,1,1,73.92,0
C271,88.18,73.49,84.0,0,0,68.04,0
C272,47.9,58.25,78.7,1,0,84.51,0
C273,84.28,72.59,59.98,0,0,86.58,0
C274,68.14,76.67,68.52,1,0,75.65,0
C275,49.26,71.7,85.34,1,1,78.38,0
C276,74.47,46.16,73.56,1,0,63.51,0
C277,70.79,56.27,97.51,0,0,75.0,0
C278,59.6,62.03,76.33,1,0,77.5,0
C279,68.98,64.11,74.11,1,0,100.0,0
C280,62.61,72.45,68.6,0,0,66.88,0
C281,69.59,67.13,73.47,1,0,92.64,0
C282,63.15,45.56,70.32,0,1,87.97,0
C283,83.49,67.5,79.79,1,1,80.81,0
C284,50.67,72.33,82.52,0,0,95.59,0
C285,88.72,66.26,63.35,1,1,81.72,0
C286,38.13,76.0,57.36,1,1,81.89,0
C287,71.07,72.91,51.8,0,1,77.47,0
C288,76.24,70.51,77.59,0,0,90.24,0
C289,71.93,64.16,59.86,0,0,88.96,0
C290,59.28,45.07,48.32,0,0,71.74,0
C291,65.09,70.16,76.27,0,0,64.81,0
C292,61.1,67.49,99.42,1,0,75.97,0
C293,59.75,68.26,71.93,0,0,70.0,0
C294,79.89,49.68,81.22,0,0,77.36,0
C295,59.45,46.21,72.9,1,1,90.37,0
C296,58.3,77.64,70.91,0,0,73.43,0
C297,80.59,64.53,82.11,1,0,77.57,0
C298,70.25,67.93,68.81,1,1,78.58,0
C299,70.58,62.16,74.94,1,1,86.48,0
C300,70.0,62.14,75.54,1,1,55.53,0
C301,50.62,70.79,64.65,1,1,71.93,0
C302,60.16,58.81,82.91,0,0,80.11,0
C303,69.34,64.29,70.08,0,1,90.0,0
C304,76.55,59.45,63.69,0,0,73.08,0
C305,67.71,59.79,77.9,1,0,59.23,0
C306,69.64,61.29,62.12,0,0,84.2,0
C307,85.89,67.67,72.31,1,0,71.65,0
C308,59.72,59.26,71.9,1,0,66.1,0
C309,75.66,80.07,83.94,1,0,71.76,0
C310,56.94,52.6,77.22,1,1,76.15,0
C311,64.95,62.76,71.72,0,0,71.95,0
C312,83.38,59.72,81.0,1,0,55.94,0
C313,72.59,78.68,87.29,1,1,86.97,0
C314,79.39,67.36,78.14,0,0,90.75,0
C315,86.28,77.38,72.11,0,0,84.52,0
C316,56.91,43.77,57.57,1,1,66.62,0
C317,77.55,68.2,60.28,1,0,75.99,0
C318,63.66,75.68,68.64,1,0,77.93,0
C319,87.31,65.45,91.14,1,1,83.99,0
C320,66.18,77.79,69.94,1,0,84.68,0
C321,69.36,58.79,72.62,0,0,70.66,0
C322,67.45,81.95,77.83,0,1,78.82,0
C323,87.4,87.92,78.7,0,1,82.57,0
C324,97.29,60.65,77.35,0,0,92.56,0
C325,53.92,59.65,72.71,1,0,85.05,0
C326,51.0,82.44,50.27,1,0,85.89,0
C327,84.21,83.95,61.67,1,0,78.84,0
C328,79.08,58.73,70.42,0,0,92.1,0
C329,76.74,59.96,58.69,1,0,82.1,0
C330,67.77,57.93,78.6,1,1,69.39,0
C331,67.83,48.87,88.84,1,0,92.03,0
C332,55.44,53.98,85.41,1,0,84.98,0
C333,69.06,52.95,69.65,0,0,73.57,0
C334,87.01,54.54,78.74,0,1,73.21,0
C335,81.65,64.58,73.64,0,0,80.97,0
C336,65.94,67.81,68.29,0,0,82.63,0
C337,81.96,79.55,81.17,0,1,79.97,0
C338,63.5,53.02,68.67,1,0,81.11,0
C339,73.78,76.81,67.73,1,0,95.0,0
C340,60.11,62.43,73.87,1,0,88.72,0
C341,56.49,64.41,73.77,1,0,79.91,0
C342,71.41,73.1,72.03,0,0,87.41,0
C343,71.43,51.53,76.81,1,0,67.67,0
C344,60.9,69.59,85.1,0,0,81.98,0
C345,61.41,67.0,82.45,0,0,96.09,0
C346,65.2,67.79,55.67,0,1,75.82,0
C347,40.76,67.21,43.91,0,1,69.52,0
C348,45.74,86.87,82.28,0,1,71.48,0
C349,79.9,57.69,84.04,0,1,67.1,0
C350,65.01,58.63,69.53,0,0,70.15,0
C351,84.88,55.37,85.95,1,1,74.29,0
C352,88.65,58.33,52.18,0,0,63.94,0
C353,71.48,54.23,77.96,0,1,78.16,0
C354,61.19,75.92,80.35,0,1,87.02,0
C355,61.25,78.69,65.66,1,1,68.92,0
C356,52.46,52.36,43.5,0,1,93.19,0
C357,67.74,55.01,65.99,0,0,83.11,0
C358,63.96,70.66,76.31,0,0,88.31,0
C359,72.52,58.37,55.73,0,0,71.42,0
C360,56.42,72.6,74.02,0,0,86.55,0
C361,75.27,67.44,71.83,0,0,67.08,0
C362,89.46,46.81,78.37,0,0,86.9,0
C363,57.67,83.22,73.32,0,1,79.72,0
C364,73.62,86.55,61.3,0,0,83.53,0
C365,72.13,55.42,85.16,1,1,66.24,0
C366,55.56,58.82,70.26,1,1,69.05,0
C367,63.83,67.6,71.7,0,1,83.97,0
C368,61.63,64.21,61.73,0,1,68.52,0
C369,69.37,72.9,67.12,1,0,82.63,0
C370,52.22,86.5,62.27,0,1,64.33,0
C371,61.16,59.83,70.1,0,1,86.48,0
C372,74.97,55.42,90.83,1,0,65.67,0
C373,88.32,48.45,56.91,0,0,83.52,0
C374,73.93,55.67,54.25,0,1,84.26,0
C375,98.14,64.6,88.18,0,0,71.03,0
C376,57.26,86.53,69.7,1,0,83.82,0
C377,76.93,52.18,64.64,0,1,80.6,0
C378,70.57,67.69,83.44,1,0,72.61,0
C379,98.66,64.8,65.34,1,0,67.91,0
C380,53.97,75.89,92.09,0,1,58.37,0
C381,56.24,95.32,79.46,0,0,81.5,0
C382,59.61,58.63,66.63,0,0,62.35,0
C383,38.27,59.13,95.73,0,0,78.95,0
C384,60.64,77.53,65.34,0,0,75.37,0
C385,54.24,69.05,80.16,1,1,84.79,0
C386,70.11,87.16,75.29,1,0,74.98,0
C387,72.78,72.01,86.32,1,0,74.71,0
C388,94.27,60.69,89.18,0,0,85.32,0
C389,81.31,72.09,72.35,1,0,81.35,0
C390,52.56,76.04,63.71,1,1,81.16,0
C391,47.21,72.79,77.06,1,1,82.69,0
C392,74.89,71.09,64.55,0,0,62.64,0
C393,49.52,77.8,94.15,1,0,85.57,0
C394,93.64,79.03,73.5,0,0,84.12,0
C395,84.51,81.59,67.98,0,0,67.83,0
C396,58.15,68.46,74.03,0,1,75.56,0
C397,44.02,62.99,57.18,1,0,77.61,0
C398,86.95,66.76,61.31,1,0,76.66,0
C399,66.4,79.48,85.2,0,0,81.34,0
C400,79.42,51.56,64.77,0,1,92.31,0
C401,83.2,66.43,87.22,0,1,88.82,0
C402,59.61,60.28,77.9,0,0,64.88,0
C403,83.5,60.94,89.46,0,1,84.22,0
C404,68.66,80.34,79.91,0,0,91.29,0
C405,61.7,67.29,82.96,1,0,81.87,0
C406,68.36,64.62,63.68,0,1,88.91,0
C407,42.83,46.0,56.36,0,1,98.12,0
C408,58.23,65.18,88.51,0,1,88.24,0
C409,69.68,72.75,68.45,1,0,80.49,0
C410,75.2,90.96,69.24,1,0,88.45,0
C411,73.16,58.1,86.61,1,1,79.45,0
C412,52.26,67.63,78.12,0,0,78.24,0
C413,46.52,67.99,77.01,1,0,74.49,0
C414,85.89,83.93,95.82,0,0,93.63,0
C415,63.99,59.23,64.92,1,1,69.82,0
C416,57.52,68.35,82.21,1,0,93.32,0
C417,89.72,72.29,72.63,1,0,83.0,0
C418,64.58,61.29,74.95,1,1,64.01,0
C419,84.51,59.64,88.81,1,0,81.68,0
C420,68.95,67.33,77.59,0,0,57.0,0
C421,96.85,77.88,77.92,1,0,84.26,0
C422,92.57,52.68,83.8,0,0,86.85,0
C423,64.51,66.6,67.99,1,0,72.08,0
C424,81.6,56.6,62.77,0,0,79.24,0
C425,68.76,73.69,60.51,0,1,97.54,0
C426,87.16,46.72,50.37,0,0,72.94,0
C427,50.01,56.18,94.62,0,1,67.41,0
C428,77.6,69.53,59.86,0,0,92.82,0
C429,82.82,83.79,69.57,1,0,97.63,0
C430,43.38,64.21,68.96,0,0,78.04,0
C431,51.43,58.34,75.38,0,0,88.11,0
C432,32.06,86.73,80.97,1,1,91.41,0
C433,64.23,47.62,81.47,0,0,70.58,0
C434,78.05,38.61,65.59,1,0,73.15,0
C435,80.39,68.1,70.16,1,1,90.31,0
C436,53.16,55.4,75.11,1,1,94.85,0
C437,81.16,51.55,69.26,1,1,83.63,0
C438,48.68,73.5,89.68,0,0,69.2,0
C439,34.85,64.29,77.4,1,1,97.87,0
C440,67.22,58.23,80.08,0,0,72.69,0
C441,73.38,49.64,79.29,0,0,74.65,0
C442,67.54,75.47,84.91,1,0,81.42,0
C443,39.06,72.8,73.99,0,0,93.54,0
C444,66.75,63.81,57.73,1,0,86.54,0
C445,49.74,87.16,76.4,1,0,82.15,0
C446,73.26,48.68,64.84,1,1,82.63,0
C447,73.13,46.69,66.19,1,0,78.44,0
C448,54.84,56.7,78.45,0,0,83.58,0
C449,60.81,64.45,85.62,0,0,52.7,0
C450,50.19,62.89,72.23,1,1,75.03,0
C451,67.12,62.11,75.4,0,0,80.41,0
C452,81.37,69.22,90.72,1,0,66.49,0
C453,50.18,44.48,74.65,1,1,81.86,0
C454,72.11,78.25,100.0,1,1,75.96,0
C455,60.58,64.01,78.22,0,0,95.55,0
C456,48.36,75.59,52.63,0,1,93.73,0
C457,65.09,66.15,80.29,0,1,73.34,0
C458,50.95,66.83,76.19,0,1,76.49,0
C459,60.25,71.84,86.19,1,0,77.26,0
C460,88.48,65.67,81.64,0,1,73.48,0
C461,95.51,72.71,70.48,0,0,79.95,0
C462,68.49,80.95,58.53,0,0,70.42,0
C463,58.2,67.36,69.7,1,0,66.69,0
C464,71.0,73.51,62.64,1,0,84.23,0
C465,66.43,63.92,65.61,0,0,84.3,0
C466,61.82,80.21,78.47,0,1,69.96,0
C467,76.6,56.88,90.37,0,0,86.95,0
C468,78.61,86.61,76.34,0,0,71.68,0
C469,60.57,64.52,58.85,1,0,80.53,0
C470,59.94,47.83,76.89,1,0,86.2,0
C471,54.42,61.24,85.16,0,1,77.66,0
C472,35.77,56.83,65.29,0,0,82.55,0
C473,46.79,75.09,70.53,1,0,72.84,0
C474,87.14,57.17,72.16,0,0,76.04,0
C475,91.03,59.65,63.37,1,0,75.94,0
C476,64.51,42.33,79.13,0,0,70.53,0
C477,65.99,58.74,70.67,0,1,76.23,0
C478,63.3,32.47,76.61,0,1,62.51,0
C479,100.0,45.99,62.24,0,0,73.09,0
C480,73.72,69.66,67.19,1,1,75.15,0
C481,56.42,68.52,79.95,0,1,75.44,0
C482,76.01,66.3,83.03,0,1,75.59,0
C483,45.51,53.4,91.0,0,0,77.38,0
C484,70.85,64.43,67.6,0,0,82.79,0
C485,57.41,64.96,74.47,0,0,86.75,0
C486,42.5,51.01,82.26,0,1,71.5,0
C487,83.92,80.75,89.53,1,1,65.97,0
C488,52.86,75.53,52.63,0,0,67.58,0
C489,91.62,62.35,55.22,0,0,73.13,0
C490,70.6,64.67,85.89,1,1,74.48,0
C491,55.64,65.84,65.93,0,1,70.3,0
C492,88.97,36.67,82.15,1,1,65.04,0
C493,56.44,58.89,65.79,0,1,73.44,0
C494,55.94,56.82,74.03,1,0,79.81,0
C495,89.32,52.98,88.96,1,0,83.95,0
C496,67.78,57.6,94.07,1,1,72.43,0
C497,53.48,86.57,94.68,1,0,73.87,0
C498,65.34,72.69,85.29,0,0,68.73,0
C499,46.06,58.48,83.26,1,1,77.69,0
C500,48.64,71.87,78.52,0,0,69.52,0
